X Y Z Intensity
80.8684624453308 29.49335040245205 225.0602 30.0
81.09146995830815 30.76530182454735 225.0688 53.0
80.96254364412744 30.097198240458965 225.0798 33.0
80.99692859745119 30.36266852915287 225.089 52.0
80.83546122221742 29.509187354706228 225.0605 34.0
80.93226494675037 30.09753996692598 225.0733 61.0
80.96650862763636 30.3685653982684 225.0854 56.0
80.80237523501273 29.528357391245663 225.0627 34.0
80.99512766068801 30.58608392160386 225.0759 56.0
80.84709527087398 29.845230882056057 225.0728 31.0
80.89240864943713 30.138772770762444 225.0783 57.0
80.7090844103368 29.22914839629084 225.0569 28.0
80.82289329404011 29.88130305800587 225.0776 37.0
80.91510231071152 30.406169231049716 225.0856 56.0
80.74505901627708 29.58471063245088 225.0703 37.0
80.7886515695136 29.88487924169749 225.0719 44.0
80.58576916414313 28.920281872153282 225.0633 31.0
80.8861488820985 30.415438637137413 225.0844 38.0
80.71496262098663 29.608403688296676 225.0748 43.0
80.75794905109797 29.901886397972703 225.074 52.0
80.55029970803298 28.94161479268223 225.065 34.0
80.80155707919039 30.170926477760077 225.0749 61.0
80.61170132982079 29.30449414625764 225.0713 49.0
80.72885434702039 29.916710950434208 225.0755 49.0
80.51724197366275 28.959673800505698 225.0662 34.0
80.57706403755583 29.323624732904136 225.0727 56.0
80.63244543841574 29.648551580496132 225.0766 57.0
80.68094620271586 29.938839285634458 225.0761 52.0
80.46638526418246 29.00618559215218 225.0762 36.0
80.52585549722426 29.353451367467642 225.0759 56.0
80.25172131613363 28.169139552861452 225.0546 42.0
80.58813300845213 29.681888833642006 225.0759 75.0
80.49897473026067 29.37277921102941 225.0717 63.0
80.22283716674428 28.206204406917095 225.0568 42.0
80.40361122181639 29.063511786051095 225.0813 41.0
80.09069975581951 27.755921642296016 225.0595 40.0
80.46439394785557 29.389687742106616 225.0726 63.0
80.182079412858 28.221844105049968 225.055 35.0
80.36822653107811 29.08151162136346 225.082 39.0
80.04839069396257 27.77152189053595 225.0575 43.0
79.89896555466112 27.26854736916721 225.0627 47.0
80.3307691742666 29.089453019201756 225.0777 68.0
80.00873217056505 27.80497750081122 225.062 40.0
79.85643045417964 27.293035848997533 225.0633 44.0
80.09142290684395 28.307366649620235 225.0705 52.0
80.27823536505457 29.110351976938546 225.0763 68.0
79.9475531547796 27.830103592947125 225.06 27.0
80.05808262526989 28.336535949259996 225.0756 50.0
79.91364778159186 27.881493465974927 225.0721 42.0
79.90277317108121 27.91234583593905 225.0754 42.0
79.98251805000473 28.377972410991788 225.0711 54.0
79.96782168583013 28.406504095532 225.0794 47.0
79.94748519163113 28.412657402455807 225.0778 47.0
79.92654257174581 28.412124812602997 225.0741 47.0
79.90122858143877 28.40036358125508 225.065 29.0
79.62008712417446 27.491586910560727 225.0834 47.0
79.72042012703605 28.002206942997873 225.0754 48.0
79.53429778490681 27.538322089239955 225.0846 61.0
79.02553880622145 34.298147921450436 225.1722 60.0
78.9819455598481 34.3337269667536 225.1742 65.0
79.06356862362009 34.42029549833387 225.1722 63.0
78.95500830956735 34.35527687240392 225.1741 65.0
72.95689912489615 30.112625066190958 225.2976 61.0
79.04691262799315 34.43432463519275 225.1729 65.0
79.13269649271388 34.50988150853664 225.1677 61.0
78.93465636461042 34.39255871064961 225.1763 65.0
72.83019807375968 30.150537726469338 225.3025 93.0
79.12498101161327 34.53859072457999 225.1712 56.0
79.21165354328696 34.6097232112661 225.1692 38.0
78.91952341841534 34.407738328911364 225.1786 65.0
79.01145599072333 34.48567506019026 225.1753 65.0
79.10117462300695 34.559108505025506 225.172 56.0
79.1885662979912 34.63248277362436 225.1716 83.0
78.88638095394708 34.429130433127284 225.1743 45.0
79.08219167229254 34.57307846657932 225.1697 61.0
79.17733986501116 34.646649988368154 225.1761 78.0
79.26174194831401 34.715501240454614 225.1741 43.0
78.96861014328897 34.522384859621525 225.1764 63.0
73.20814314088784 30.701569673605263 225.2985 79.0
79.05445051635616 34.595719676464796 225.1686 63.0
79.14962696353905 34.66818016953766 225.1727 86.0
79.24408426566515 34.73839888256043 225.1806 64.0
78.93469202751294 34.54375723935664 225.1703 40.0
73.07712722569704 30.72603163588792 225.3011 71.0
79.03878073673695 34.63200883939862 225.1715 61.0
79.2340983375907 34.76482686586678 225.1794 61.0
79.31008126668166 34.82901702169329 225.1696 57.0
